        hour            z         tsoi
       6.500      -63.750       15.021
       6.500      -66.250       15.013
       6.500      -68.750       15.004
       6.500      -71.250       14.994
       6.500      -73.750       14.984
       6.500      -76.250       14.974
       6.500      -78.750       14.965
       6.500      -81.250       14.957
       6.500      -83.750       14.949
       6.500      -86.250       14.942
       6.500      -88.750       14.936
       6.500      -91.250       14.930
       6.500      -93.750       14.926
       6.500      -96.250       14.921
       6.500      -98.750       14.918
       7.000        0.000       13.706
       7.000       -1.250       13.453
       7.000       -3.750       13.145
       7.000       -6.250       12.994
       7.000       -8.750       12.963
       7.000      -11.250       13.021
       7.000      -13.750       13.141
       7.000      -16.250       13.301
       7.000      -18.750       13.485
       7.000      -21.250       13.678
       7.000      -23.750       13.870
       7.000      -26.250       14.054
       7.000      -28.750       14.224
       7.000      -31.250       14.377
       7.000      -33.750       14.512
       7.000      -36.250       14.628
       7.000      -38.750       14.726
       7.000      -41.250       14.806
       7.000      -43.750       14.870
       7.000      -46.250       14.920
       7.000      -48.750       14.958
       7.000      -51.250       14.984
       7.000      -53.750       15.002
       7.000      -56.250       15.012
       7.000      -58.750       15.017
       7.000      -61.250       15.017
       7.000      -63.750       15.014
       7.000      -66.250       15.008
       7.000      -68.750       15.001
       7.000      -71.250       14.993
       7.000      -73.750       14.984
       7.000      -76.250       14.975
       7.000      -78.750       14.967
       7.000      -81.250       14.958
       7.000      -83.750       14.951
       7.000      -86.250       14.944
       7.000      -88.750       14.938
       7.000      -91.250       14.932
       7.000      -93.750       14.927
       7.000      -96.250       14.923
       7.000      -98.750       14.919
       7.500        0.000       14.347
       7.500       -1.250       14.034
       7.500       -3.750       13.616
       7.500       -6.250       13.365
       7.500       -8.750       13.246
       7.500      -11.250       13.229
       7.500      -13.750       13.286
       7.500      -16.250       13.395
       7.500      -18.750       13.537
       7.500      -21.250       13.698
       7.500      -23.750       13.865
       7.500      -26.250       14.031
       7.500      -28.750       14.190
       7.500      -31.250       14.336
       7.500      -33.750       14.467
       7.500      -36.250       14.582
       7.500      -38.750       14.681
       7.500      -41.250       14.764
       7.500      -43.750       14.832
       7.500      -46.250       14.886
       7.500      -48.750       14.928
       7.500      -51.250       14.959
       7.500      -53.750       14.981
       7.500      -56.250       14.995
       7.500      -58.750       15.003
       7.500      -61.250       15.006
       7.500      -63.750       15.006
       7.500      -66.250       15.003
       7.500      -68.750       14.997
       7.500      -71.250       14.990
       7.500      -73.750       14.983
       7.500      -76.250       14.975
       7.500      -78.750       14.967
       7.500      -81.250       14.960
       7.500      -83.750       14.952
       7.500      -86.250       14.946
       7.500      -88.750       14.939
       7.500      -91.250       14.934
       7.500      -93.750       14.929
       7.500      -96.250       14.924
       7.500      -98.750       14.920
       8.000        0.000       15.000
       8.000       -1.250       14.632
       8.000       -3.750       14.110
       8.000       -6.250       13.764
       8.000       -8.750       13.560
       8.000      -11.250       13.467
       8.000      -13.750       13.460
       8.000      -16.250       13.515
       8.000      -18.750       13.614
       8.000      -21.250       13.739
       8.000      -23.750       13.880
       8.000      -26.250       14.025
       8.000      -28.750       14.169
       8.000      -31.250       14.305
       8.000      -33.750       14.431
       8.000      -36.250       14.543
       8.000      -38.750       14.641
       8.000      -41.250       14.725
       8.000      -43.750       14.795
       8.000      -46.250       14.853
       8.000      -48.750       14.898
       8.000      -51.250       14.933
       8.000      -53.750       14.959
       8.000      -56.250       14.977
       8.000      -58.750       14.988
       8.000      -61.250       14.995
       8.000      -63.750       14.997
       8.000      -66.250       14.996
       8.000      -68.750       14.992
       8.000      -71.250       14.987
       8.000      -73.750       14.981
       8.000      -76.250       14.974
       8.000      -78.750       14.967
       8.000      -81.250       14.960
       8.000      -83.750       14.953
       8.000      -86.250       14.947
       8.000      -88.750       14.941
       8.000      -91.250       14.935
       8.000      -93.750       14.930
       8.000      -96.250       14.926
       8.000      -98.750       14.921
       8.500        0.000       15.653
       8.500       -1.250       15.236
       8.500       -3.750       14.619
       8.500       -6.250       14.183
       8.500       -8.750       13.897
       8.500      -11.250       13.732
       8.500      -13.750       13.661
       8.500      -16.250       13.661
       8.500      -18.750       13.714
       8.500      -21.250       13.802
       8.500      -23.750       13.913
       8.500      -26.250       14.036
       8.500      -28.750       14.162
       8.500      -31.250       14.286
       8.500      -33.750       14.403
       8.500      -36.250       14.511
       8.500      -38.750       14.607
       8.500      -41.250       14.691
       8.500      -43.750       14.762
