           year          carbon        nitrogen
        1.54252        43.24547         2.00298
        1.54526        43.20409         2.00336
        1.54800        43.16279         2.00373
        1.55074        43.12157         2.00411
        1.55348        43.08044         2.00448
        1.55622        43.03938         2.00485
        1.55896        42.99842         2.00522
        1.56170        42.95753         2.00559
        1.56444        42.91673         2.00595
        1.56718        42.87601         2.00632
        1.56992        42.83537         2.00668
        1.57266        42.79481         2.00703
        1.57540        42.75433         2.00739
        1.57814        42.71393         2.00775
        1.58088        42.67362         2.00810
        1.58362        42.63339         2.00845
        1.58636        42.59323         2.00880
        1.58910        42.55316         2.00914
        1.59184        42.51316         2.00949
        1.59458        42.47325         2.00983
        1.59732        42.43342         2.01017
        1.60006        42.39366         2.01051
        1.60280        42.35399         2.01084
        1.60554        42.31439         2.01117
        1.60828        42.27487         2.01151
        1.61102        42.23543         2.01184
        1.61376        42.19607         2.01216
        1.61650        42.15679         2.01249
        1.61924        42.11758         2.01281
        1.62197        42.07846         2.01313
        1.62471        42.03941         2.01345
        1.62745        42.00044         2.01377
        1.63019        41.96154         2.01409
        1.63293        41.92272         2.01440
        1.63567        41.88398         2.01471
        1.63841        41.84532         2.01502
        1.64115        41.80673         2.01533
        1.64389        41.76822         2.01563
        1.64663        41.72978         2.01594
        1.64937        41.69142         2.01624
        1.65211        41.65313         2.01654
        1.65485        41.61492         2.01683
        1.65759        41.57679         2.01713
        1.66033        41.53873         2.01742
        1.66307        41.50075         2.01772
        1.66581        41.46284         2.01800
        1.66855        41.42500         2.01829
        1.67129        41.38724         2.01858
        1.67403        41.34955         2.01886
        1.67677        41.31194         2.01914
        1.67951        41.27440         2.01942
        1.68225        41.23693         2.01970
        1.68499        41.19954         2.01998
        1.68773        41.16222         2.02025
        1.69047        41.12497         2.02052
        1.69321        41.08779         2.02079
        1.69595        41.05069         2.02106
        1.69869        41.01366         2.02133
        1.70143        40.97670         2.02159
        1.70417        40.93982         2.02185
        1.70691        40.90300         2.02211
        1.70965        40.86626         2.02237
        1.71239        40.82959         2.02263
        1.71513        40.79299         2.02288
        1.71787        40.75646         2.02314
        1.72061        40.72000         2.02339
        1.72334        40.68361         2.02363
        1.72608        40.64730         2.02388
        1.72882        40.61105         2.02413
        1.73156        40.57487         2.02437
        1.73430        40.53876         2.02461
        1.73704        40.50273         2.02485
        1.73978        40.46676         2.02509
        1.74252        40.43086         2.02532
        1.74526        40.39503         2.02556
        1.74800        40.35927         2.02579
        1.75074        40.32358         2.02602
        1.75348        40.28796         2.02625
        1.75622        40.25241         2.02647
        1.75896        40.21692         2.02670
        1.76170        40.18150         2.02692
        1.76444        40.14615         2.02714
        1.76718        40.11087         2.02736
        1.76992        40.07566         2.02758
        1.77266        40.04051         2.02779
        1.77540        40.00543         2.02801
        1.77814        39.97042         2.02822
        1.78088        39.93547         2.02843
        1.78362        39.90060         2.02863
        1.78636        39.86578         2.02884
        1.78910        39.83104         2.02904
